file	percent	reads	taxon_id	taxon_name
ERR505085_1qc.fastq.out	9.070156	3688451	1262922	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1320;
ERR505085_1qc.fastq.out	3.066194	1246892	1262739	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:443;
ERR505085_1qc.fastq.out	2.263849	920612	1263017	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:313;
ERR505085_1qc.fastq.out	1.493617	607391	1262882	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. CAG:180;
ERR505085_1qc.fastq.out	1.418202	576723	1262884	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. CAG:202;
ERR505085_1qc.fastq.out	0.732665	297944	28117	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis;
ERR505085_1qc.fastq.out	0.693374	281966	1262693	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. CAG:268;
ERR505085_1qc.fastq.out	0.611295	248588	1262915	NA;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium sp. CAG:266;
ERR505085_1qc.fastq.out	0.566661	230437	1262735	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:1076;
ERR505085_1qc.fastq.out	0.511349	207944	853	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii;
ERR505085_1qc.fastq.out	0.487461	198230	1263007	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:176;
ERR505085_1qc.fastq.out	0.482573	196242	1263040	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides coprocola CAG:162;
ERR505085_1qc.fastq.out	0.471099	191576	1263018	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:321;
ERR505085_1qc.fastq.out	0.468814	190647	59620	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;uncultured Clostridium sp.;
ERR505085_1qc.fastq.out	0.419684	170668	310298	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides coprocola;
ERR505085_1qc.fastq.out	0.367719	149536	1118061	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes obesi;
ERR505085_1qc.fastq.out	0.334760	136133	46228	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus lactaris;
ERR505085_1qc.fastq.out	0.321811	130867	1262736	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:144;
ERR505085_1qc.fastq.out	0.316094	128542	165186	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;uncultured Ruminococcus sp.;
ERR505085_1qc.fastq.out	0.286523	116517	820	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;
ERR505085_1qc.fastq.out	0.268162	109050	2173	NA;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii;
ERR505085_1qc.fastq.out	0.260236	105827	360807	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;
ERR505085_1qc.fastq.out	0.246094	100076	821	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;
ERR505085_1qc.fastq.out	0.226655	92171	1262774	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:127;
ERR505085_1qc.fastq.out	0.221929	90249	1735	NA;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella biformis;
ERR505085_1qc.fastq.out	0.220274	89576	1262740	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:462;
ERR505085_1qc.fastq.out	0.204154	83021	301302	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia faecis;
ERR505085_1qc.fastq.out	0.193684	78763	1262977	NA;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella sp. CAG:521;
ERR505085_1qc.fastq.out	0.183665	74689	817	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;
ERR505085_1qc.fastq.out	0.176704	71858	204516	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis;
ERR505085_1qc.fastq.out	0.173647	70615	1262952	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. CAG:177;
ERR505085_1qc.fastq.out	0.171038	69554	1897034	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:321_26_22;
ERR505085_1qc.fastq.out	0.148279	60299	1262970	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;Subdoligranulum sp. CAG:314;
ERR505085_1qc.fastq.out	0.144458	58745	626932	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes indistinctus;
ERR505085_1qc.fastq.out	0.142051	57766	1263003	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:129;
ERR505085_1qc.fastq.out	0.134877	54849	512314	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;uncultured Roseburia sp.;
ERR505085_1qc.fastq.out	0.132561	53907	46503	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides merdae;
ERR505085_1qc.fastq.out	0.129116	52506	1262738	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:20;
ERR505085_1qc.fastq.out	0.124808	50754	487174	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;Barnesiella intestinihominis;
ERR505085_1qc.fastq.out	0.123576	50253	1262775	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:138;
ERR505085_1qc.fastq.out	0.122995	50017	1262878	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. CAG:115;
ERR505085_1qc.fastq.out	0.122430	49787	1896965	NA;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter sp. 46_36;
ERR505085_1qc.fastq.out	0.119324	48524	823	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides distasonis;
ERR505085_1qc.fastq.out	0.118547	48208	88431	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea longicatena;
ERR505085_1qc.fastq.out	0.118480	48181	1897048	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium 52_15;
ERR505085_1qc.fastq.out	0.113088	45988	1262947	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. CAG:45;
ERR505085_1qc.fastq.out	0.112977	45943	162156	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.;
ERR505085_1qc.fastq.out	0.111949	45525	40545	NA;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella wadsworthensis;
ERR505085_1qc.fastq.out	0.108529	44134	544645	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas virosa;
ERR505085_1qc.fastq.out	0.107314	43640	39491	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;[Eubacterium] rectale;
ERR505085_1qc.fastq.out	0.104928	42670	166486	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis;
ERR505085_1qc.fastq.out	0.104560	42520	818	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron;
ERR505085_1qc.fastq.out	0.096064	39065	1262999	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:103;
ERR505085_1qc.fastq.out	0.095402	38796	1262828	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:62;
ERR505085_1qc.fastq.out	0.094871	38580	39485	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium] eligens;
ERR505085_1qc.fastq.out	0.092832	37751	28116	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus;
ERR505085_1qc.fastq.out	0.092107	37456	1262918	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1058;
ERR505085_1qc.fastq.out	0.091448	37188	77133	NA;Bacteria;NA;NA;NA;NA;NA;uncultured bacterium;
ERR505085_1qc.fastq.out	0.090668	36871	901	NA;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio piger;
ERR505085_1qc.fastq.out	0.088330	35920	39496	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium ventriosum;
ERR505085_1qc.fastq.out	0.085067	34593	1288121	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;
ERR505085_1qc.fastq.out	0.084575	34393	1263002	NA;Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:124;
ERR505085_1qc.fastq.out	0.082903	33713	544644	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas synergistica;
ERR505085_1qc.fastq.out	0.080335	32669	214851	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;Subdoligranulum variabile;
ERR505085_1qc.fastq.out	0.076524	31119	1897045	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium 42_27;
ERR505085_1qc.fastq.out	0.072235	29375	765821	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured Blautia sp.;
ERR505085_1qc.fastq.out	0.072122	29329	376805	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salanitronis;
ERR505085_1qc.fastq.out	0.069375	28212	1680	NA;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis;
ERR505085_1qc.fastq.out	0.068517	27863	1896986	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:245_30_32;
ERR505085_1qc.fastq.out	0.067760	27555	1160721	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus bicirculans;
ERR505085_1qc.fastq.out	0.065512	26641	310297	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius;
ERR505085_1qc.fastq.out	0.065040	26449	1470347	NA;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes ihumii;
ERR505085_1qc.fastq.out	0.062079	25245	116085	NA;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;Coprococcus catus;
