#OTU ID	ERR505083	ERR505084	ERR505085	ERR505086	ERR505087	ERR505088	ERR505089	ERR505090	ERR505091	ERR505092	ERR505093	ERR505094	ERR505095	ERR505096	ERR505097	ERR505098	ERR505099	ERR505100	ERR505101	ERR505102	ERR505103	ERR505104	ERR505105	ERR505106	ERR671910	ERR671913	ERR671914	ERR671915	ERR671916	ERR671917	ERR671923	ERR671925	ERR671929	ERR671930	ERR671931	ERR671932	ERR671934	ERR671935	ERR671936	ERR671939	ERR687883	ERR687885	ERR687887	ERR687890	ERR687892	ERR687895	ERR687896	ERR687897	SRR1950687	SRR1950688	SRR1950689	SRR1950694	SRR1950695	SRR1950701	SRR1950711	SRR1950716	SRR1950717	SRR1950724	SRR1950729	SRR1950730	SRR1950731	SRR1950736	SRR1950744	SRR1950747	SRR1950748	SRR1950749	SRR1950758	SRR1950762	SRR1950768	SRR1950769	SRR1950776	SRR1950777	SRR6853342	SRR6853343	SRR6853344	SRR6853345	SRR6853346	SRR6853347	SRR6853348	SRR6853349	SRR6853350	SRR6853351
Acidilobus saccharovorans	1	0	0	0	0	0	8	2	0	0	6	3	0	0	0	1	1	3	0	0	0	0	0	0	135	97	116	115	91	82	150	99	119	85	74	101	145	127	105	124	108	110	88	85	148	135	126	116	0	0	3	0	2	0	0	5	6	3	2	0	4	0	6	2	0	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Acidilobus sp. 7A	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	4	0	0	0	0	0	3	89	32	119	99	97	96	135	96	108	74	79	83	85	85	73	78	91	92	74	82	108	125	109	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Caldisphaera lagunensis	5	4	3	2	1	3	3	4	1	1	2	0	1	1	0	1	2	1	0	1	2	1	3	0	151	94	108	98	69	64	145	139	153	101	103	135	117	116	88	139	143	163	116	89	164	94	83	148	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0
Aeropyrum camini	0	7	2	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	3	2	0	1	0	1	157	107	173	158	122	133	212	172	192	148	145	160	171	189	166	138	167	193	138	89	152	162	160	178	2	0	1	0	1	3	0	1	0	2	1	0	2	0	9	1	2	3	2	0	0	0	2	1	0	0	0	0	0	36	0	0	0	1
Aeropyrum pernix	2	2	5	3	0	1	1	0	0	1	0	0	0	0	17	6	1	0	0	0	3	0	0	59	140	100	129	138	137	107	186	132	163	146	147	138	217	205	156	117	145	134	151	114	141	132	135	124	2	0	1	0	0	0	4	2	1	2	0	1	2	1	3	0	1	2	2	0	0	1	4	1	1	0	6	0	4	12	0	0	0	7
Desulfurococcus amylolyticus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	4	3	5	5	1	3	3	3	2	2	2	5	2	3	3	1	2	3	1	0	4	4	3	3	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Desulfurococcus fermentans	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	28	18	24	24	21	25	26	19	17	16	8	18	16	12	8	9	6	17	11	14	31	17	18	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcus kamchatkensis	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	8	8	4	11	4	8	9	14	4	2	6	4	9	5	5	5	4	6	6	6	7	3	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcus mobilis	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	12	37	21	18	18	22	18	12	11	8	8	6	8	2	14	19	14	9	14	34	40	36	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcus mucosus	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	11	23	6	6	15	20	16	13	13	17	10	21	13	12	12	21	19	13	7	22	18	15	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurococcus sp. SY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ignicoccus hospitalis	7	3	1	0	2	1	0	1	0	0	1	3	0	0	1	1	1	2	1	2	1	0	0	0	186	123	146	186	140	125	166	112	168	136	134	165	162	176	148	125	133	155	138	120	155	154	152	189	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Ignicoccus islandicus	2	9	1	3	0	1	0	2	0	0	8	12	1	0	1	0	2	0	9	0	0	1	0	4	189	95	129	138	75	86	154	113	101	83	94	87	108	114	97	94	101	98	104	104	174	134	127	194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Ignisphaera aggregans	6	4	1	4	2	3	2	5	2	0	1	0	3	3	3	3	13	4	1	3	1	2	5	2	256	180	141	142	105	128	198	170	166	154	145	131	197	201	146	141	138	135	143	149	277	154	133	258	1	0	1	0	0	1	1	2	0	3	2	0	2	1	3	1	0	1	2	0	25	2	0	1	0	0	0	0	0	0	0	0	0	0
Staphylothermus hellenicus	2	2	4	0	0	0	1	0	0	0	0	2	0	0	1	0	0	2	0	1	0	0	3	8	92	54	120	111	87	84	128	87	87	95	108	80	118	126	106	79	101	90	88	72	161	99	103	107	0	0	1	0	0	2	1	1	0	0	1	0	2	1	0	1	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Staphylothermus marinus	5	6	0	0	10	0	1	0	0	1	1	6	0	0	0	2	0	0	2	3	0	1	1	1	97	62	53	41	38	29	79	43	43	52	62	61	72	56	46	64	65	72	53	31	69	42	48	93	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Stetteria hydrogenophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfophobococcus zilligii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermodiscus maritimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermogladius cellulolyticus	7	13	3	1	1	3	7	11	1	8	0	7	1	0	2	13	0	3	0	3	0	2	7	1	203	105	168	163	128	144	206	146	166	143	136	140	192	203	165	139	176	159	142	89	194	186	155	193	3	0	1	0	0	0	1	0	6	2	0	1	1	0	4	1	0	0	0	0	7	0	0	2	0	0	0	0	1	0	0	0	0	0
Thermosphaera aggregans	7	12	4	8	0	10	3	2	4	15	0	1	1	0	1	1	0	0	3	5	0	0	0	0	127	98	118	149	104	97	121	103	126	82	95	113	114	133	118	103	117	105	99	119	135	140	134	140	0	0	1	0	0	1	0	1	4	3	1	1	0	0	1	0	1	0	1	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0
Hyperthermus butylicus	3	5	11	8	0	0	1	1	1	1	5	5	2	0	1	0	0	0	0	1	0	0	0	1	210	161	184	194	224	202	241	187	221	171	194	192	258	232	182	187	193	227	197	137	189	175	171	200	0	0	1	0	0	1	2	1	4	1	1	0	0	2	2	0	1	0	3	3	0	3	0	1	0	0	0	0	0	0	0	0	1	3
Pyrodictium delaneyi	5	5	7	2	1	0	2	0	3	21	0	0	2	0	4	11	0	1	1	1	0	0	3	0	228	148	278	284	226	221	334	243	248	202	205	204	276	276	232	222	218	230	213	174	300	261	251	231	1	0	1	0	6	2	3	6	5	0	0	0	0	2	1	6	3	4	2	2	0	1	7	5	0	0	0	0	0	3	0	0	2	0
Pyrodictium occultum	13	9	1	2	0	2	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	203	121	250	239	240	210	297	214	245	199	235	255	282	261	232	212	240	261	227	162	282	273	282	184	2	0	2	0	2	0	3	1	7	3	1	1	0	1	7	4	3	2	2	4	0	8	2	0	0	0	0	0	0	0	0	1	1	1
Pyrolobus fumarii	8	21	1	3	0	0	1	3	0	1	2	1	5	9	0	1	2	1	0	0	0	0	1	2	236	168	251	238	177	170	305	223	241	216	211	228	267	267	237	232	205	234	243	154	272	239	231	233	2	0	2	0	1	0	9	3	0	3	0	1	0	1	5	4	1	3	1	0	0	2	1	1	2	0	0	17	13	6	0	7	1	16
Fervidicoccus fontis	8	5	1	2	1	1	1	2	3	2	0	1	0	0	3	6	0	3	1	1	0	0	0	0	223	107	147	149	102	94	187	144	156	164	164	137	190	205	163	132	151	123	170	93	195	159	138	183	0	0	1	0	1	0	1	0	7	3	0	1	2	4	0	0	2	3	1	1	0	1	7	0	0	0	0	0	0	0	0	0	1	0
Acidianus ambivalens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	1	1	1	0	1	2	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidianus brierleyi	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	3	0	0	2	2	0	4	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidianus hospitalis	1	1	5	2	6	17	0	1	14	41	2	1	4	0	0	6	1	1	1	4	2	0	1	3	101	73	73	86	55	51	126	102	99	99	93	75	102	114	107	100	104	85	93	76	113	65	80	96	1	0	2	0	4	0	0	0	9	1	0	1	2	2	0	1	1	1	1	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0
