#sampleID	SourceSink	Env
ERR505083	source   	gut
ERR505084	source   	gut
ERR505085	source   	gut
ERR505086	source   	gut
ERR505087	source   	gut
ERR505088	source   	gut
ERR505089	source   	gut
ERR505090	source   	gut
ERR505091	source   	gut
ERR505092	source   	gut
ERR505093	source   	gut
ERR505094	source   	gut
ERR505095	source   	gut
ERR505096	source   	gut
ERR505097	source   	gut
ERR505098	source   	gut
ERR505099	source   	gut
ERR505100	source   	gut
ERR505101	source   	gut
ERR505102	source   	gut
ERR505103	source   	gut
ERR505104	source   	gut
ERR505105	source   	gut
ERR505106	source   	gut
ERR671910	source   	soil
ERR671913	source   	soil
ERR671914	source   	soil
ERR671915	source   	soil
ERR671916	source   	soil
ERR671917	source   	soil
ERR671923	source   	soil
ERR671925	source   	soil
ERR671929	source   	soil
ERR671930	source   	soil
ERR671931	source   	soil
ERR671932	source   	soil
ERR671934	source   	soil
ERR671935	source   	soil
ERR671936	source   	soil
ERR671939	source   	soil
ERR687883	source   	soil
ERR687885	source   	soil
ERR687887	source   	soil
ERR687890	source   	soil
ERR687892	source   	soil
ERR687895	source   	soil
ERR687896	source   	soil
ERR687897	source   	soil
SRR1950687	source   	skin
SRR1950688	source   	skin
SRR1950689	source   	skin
SRR1950694	source   	skin
SRR1950695	source   	skin
SRR1950701	source   	skin
SRR1950711	source   	skin
SRR1950716	source   	skin
SRR1950717	source   	skin
SRR1950724	source   	skin
SRR1950729	source   	skin
SRR1950730	source   	skin
SRR1950731	source   	skin
SRR1950736	source   	skin
SRR1950744	source   	skin
SRR1950747	source   	skin
SRR1950748	source   	skin
SRR1950749	source   	skin
SRR1950758	source   	skin
SRR1950762	source   	skin
SRR1950768	source   	skin
SRR1950769	source   	skin
SRR1950776	source   	skin
SRR1950777	source   	skin
SRR6853342	sink	ISS
SRR6853343	sink	ISS
SRR6853344	sink	ISS
SRR6853345	sink	ISS
SRR6853346	sink	ISS
SRR6853347	sink	ISS
SRR6853348	sink	ISS
SRR6853349	sink	ISS
SRR6853350	sink	ISS
SRR6853351	sink	ISS
SRR6853352	sink	ISS
SRR6853353	sink	ISS
SRR6853354	sink	ISS
SRR6853355	sink	ISS
SRR6853356	sink	ISS
SRR6853357	sink	ISS
SRR6853358	sink	ISS
SRR6853359	sink	ISS
SRR6853360	sink	ISS
SRR6853361	sink	ISS
SRR6853362	sink	ISS
SRR6853363	sink	ISS
SRR6853364	sink	ISS
SRR6853365	sink	ISS
SRR6853366	sink	ISS
SRR6853367	sink	ISS
SRR6853368	sink	ISS
SRR6853369	sink	ISS
SRR6853370	sink	ISS
SRR6853371	sink	ISS
SRR6853372	sink	ISS
SRR6853373	sink	ISS
SRR6853374	sink	ISS
SRR6853375	sink	ISS
SRR6853376	sink	ISS
SRR6853377	sink	ISS
SRR6853378	sink	ISS
SRR6853379	sink	ISS
SRR6853380	sink	ISS
SRR6853381	sink	ISS
SRR6853382	sink	ISS
SRR6853383	sink	ISS
