#SampleID	SourceSink	Env
ERR671910	source   	soil
ERR671913	source   	soil
ERR671914	source   	soil
ERR671915	source   	soil
ERR671916	source   	soil
ERR671917	source   	soil
ERR671923	source   	soil
ERR671925	source   	soil
ERR671929	source   	soil
ERR671930	source   	soil
ERR671931	source   	soil
ERR671932	source   	soil
ERR671934	source   	soil
ERR671935	source   	soil
ERR671936	source   	soil
ERR671939	source   	soil
ERR687883	source   	soil
ERR687885	source   	soil
ERR687887	source   	soil
ERR687890	source   	soil
ERR687892	source   	soil
ERR687895	source   	soil
ERR687896	source   	soil
ERR687897	source   	soil
SRR1950687	source   	skin
SRR1950688	source   	skin
SRR1950689	source   	skin
SRR1950694	source   	skin
SRR1950695	source   	skin
SRR1950701	source   	skin
SRR1950711	source   	skin
SRR1950716	source   	skin
SRR1950717	source   	skin
SRR1950724	source   	skin
SRR1950729	source   	skin
SRR1950730	source   	skin
SRR1950731	source   	skin
SRR1950736	source   	skin
SRR1950744	source   	skin
SRR1950747	source   	skin
SRR1950748	source   	skin
SRR1950749	source   	skin
SRR1950758	source   	skin
SRR1950762	source   	skin
SRR1950768	source   	skin
SRR1950769	source   	skin
SRR1950776	source   	skin
SRR1950777	source   	skin
SRR6853342	sink	ISS
SRR6853343	sink	ISS
SRR6853344	sink	ISS
SRR6853345	sink	ISS
SRR6853346	sink	ISS
SRR6853347	sink	ISS
SRR6853348	sink	ISS
SRR6853349	sink	ISS
SRR6853350	sink	ISS
SRR6853351	sink	ISS
