#Constructed from biom file																																																																																																																																																																																																																															
#OTU ID	SRR1569470	SRR1569466	SRR1566021	SRR1569812	SRR1569462	SRR1569742	ERR866572	ERR866564	ERR866563	ERR866568	ERR866608	ERR866566	ERR866580	ERR866576	ERR866590	ERR866571	ERR866569	ERR866583	ERR866565	ERR771103	ERR770962	ERR770992	ERR770974	ERR771039	ERR771070	ERR771066	ERR771096	ERR771015	ERR771041	ERR771032	ERR771057	ERR770969	ERR771024	ERR771019	ERR771023	ERR771050	ERR771035	ERR770978	ERR770983	ERR770973	ERR771028	ERR770995	ERR770965	ERR771012	ERR771061	ERR771004	ERR771077	ERR771048	ERR770976	ERR770986	ERR770960	ERR770990	ERR771064	ERR771017	ERR771094	ERR771072	ERR771001	ERR771082	ERR771101	ERR771079	ERR771089	ERR771055	ERR771043	ERR771030	ERR771098	ERR771068	ERR771021	ERR771052	ERR770997	ERR770967	ERR771059	ERR771085	ERR771006	ERR771075	ERR771093	ERR771010	ERR855786	ERR771036	ERR771020	ERR771053	ERR771099	ERR771084	ERR771074	ERR771092	ERR771011	ERR770996	ERR770966	ERR771058	ERR770980	ERR771065	ERR771016	ERR771095	ERR771073	ERR771000	ERR771049	ERR770977	ERR770987	ERR770961	ERR770991	ERR771054	ERR771042	ERR771051	ERR770989	ERR770979	ERR771047	ERR771018	ERR771013	ERR771005	ERR771086	ERR770982	ERR770972	ERR770994	ERR771105	ERR771071	ERR771002	ERR771067	ERR770959	ERR771097	ERR771014	ERR770993	ERR770985	ERR771038	ERR771040	ERR771033	ERR771056	ERR770968	ERR771025	ERR770998	ERR771009	ERR671931	ERR671927	SRR988097	ERR687897	ERR671916	ERR671911	ERR671920	ERR671936	SRR988086	ERR687890	SRR988090	ERR687886	ERR671925	ERR671933	SRR988083	ERR687895	SRR988095	ERR687883	ERR687888	ERR671914	SRR988078	SRR988088	ERR671938	ERR671913	ERR671929	ERR671934	ERR671922	ERR687884	ERR671918	SRR988092	ERR687892	ERR671928	ERR687898	ERR671912	ERR687885	SRR988093	ERR671919	ERR687893	SRR988085	ERR671935	ERR671923	SRR988082	ERR687894	SRR988094	ERR671924	ERR671932	ERR671939	ERR687889	ERR671915	SRR988079	SRR988089	ERR671910	SRR988087	ERR687891	SRR988077	SRR988091	ERR687887	ERR671921	ERR671937	SRR988096	ERR687896	ERR671930	ERR671926	ERR671917	SRR2026986	SRR1518285	SRR1522974	SRR949897	SRR948448	SRR947737	SRR949536	SRR1515032	SRR949847	SRR1522973	SRR948155	SRR3098775	SRR3098772	SRR3098764	SRR949314	SRR1522971	SRR2027830	SRR3098779	SRR949535	SRR2027816	SRR949315	SRR3098769	SRR948334	SRR3098767	SRR949987	SRR1514963	SRR1522964	SRR3098756	SRR948284	SRR3098776
Nitrosopumilus	3857	4945	2160	6088	8283	5707	24	62	47	55	6	75	19	28	34	106	35	25	45	85	2541	313	22	95	70	127	95	184	61	43	294	71	20	501	52	457	35	10443	38	24	9	236	168	424	43	31	25	86	77	79	168	114	39	76	66	1271	26	47	64	48	17	43	58	40	53	338	106	224	75	20	34	321	32	198	49	57	245	44	77	212	33	3861	2064	78	245	84	44	19	67	155	165	58	61	32	190	26	162	20	67	95	298	66	54	57	143	462	125	49	55	5002	144	95	32	55	32	5144	169	123	318	69	50	26	8	122	84	33	30	253	356	2492	2031	239	6112	2401	6008	4124	1770	387	3496	960	2610	2645	2597	590	3600	221	2472	2603	3779	221	605	2403	3244	2056	1929	3312	2529	5867	1946	5187	1989	6129	3365	2507	574	5984	2423	352	1946	3380	608	2385	557	2595	2562	2410	3509	3841	918	505	6021	602	5314	239	799	2579	4110	1830	955	3613	2492	1992	2522	92585	2441	2252	216	904	357	1808	20698	6247	3410	739	959	317	1428	2812	2816	952085	758	455	1026078	819	522	744	834	11919	62754	3078	130	727	753
Candidatus Nitrosoarchaeum	1482	1664	736	1848	2600	1679	6	78	17	18	3	20	9	13	2	21	15	26	29	14	225	20	8	22	16	25	11	16	16	14	42	9	5	42	9	26	4	579	2	7	7	44	12	86	10	7	3	8	48	11	22	22	7	20	20	63	10	9	13	2	6	4	14	11	9	29	25	25	5	12	11	41	6	37	9	23	17	5	23	11	10	216	121	9	44	13	21	2	8	18	21	7	13	6	22	2	36	2	22	11	27	12	8	13	19	104	19	13	4	272	19	34	25	10	10	97	19	8	38	8	11	9	34	23	9	12	5	39	43	1412	1135	100	3478	1389	3377	2391	963	148	2057	421	1548	1481	1558	195	1994	103	1472	1465	2106	103	254	1445	1820	1108	965	1999	1470	3439	839	2981	1179	3486	1828	1495	208	3405	1325	144	1020	1942	198	1303	222	1513	1551	1366	2041	2072	388	216	3498	301	3040	100	304	1325	2293	936	408	2070	1401	1142	1383	7801	636	500	33	167	221	16	12834	198	756	179	928	479	57	5	763	118295	1715	12	99018	2	643	126	1279	8	38376	641	114	171	1077
Methanosarcina	1156	1387	546	2159	1300	2059	314	676	495	559	87	938	213	241	332	960	494	299	474	91	119	174	92	202	145	119	100	212	188	159	159	96	132	221	106	142	90	144	158	92	56	207	119	234	88	128	93	114	70	138	88	152	87	163	132	154	133	179	87	65	103	197	115	179	101	151	183	344	158	126	141	142	71	139	109	151	108	149	167	175	88	110	131	119	167	191	186	213	204	160	141	89	111	139	170	122	192	89	177	169	248	138	158	123	170	110	187	142	87	196	125	107	128	120	133	123	137	103	142	166	126	81	127	137	267	97	117	106	186	7384	7249	2569	9400	7166	9479	7722	8043	3040	6588	10045	7666	8409	7669	6033	7222	2226	7895	7303	7520	2226	5816	7283	6986	8284	8676	10402	7852	8925	9170	8278	8097	9369	7219	7600	5081	9162	6771	3022	8683	10430	6071	6662	5022	8521	7407	7274	6727	7400	8871	5348	9623	5815	8191	2569	7658	7254	7661	8285	9418	7066	7246	7303	7161	9644	21797	9284	617	2108	2438	209	14127	3060	19709	3078	2219	1264	890	126	16674	19722	3955	221	15732	131	1265	2660	3018	584	28406	17175	1479	3366	2676
Halorubrum	1060	1239	449	2447	1170	2110	60	191	115	165	12	239	43	62	54	299	121	126	179	93	101	115	58	179	142	81	93	149	179	76	162	53	83	98	51	98	43	97	92	73	69	86	61	175	84	79	70	169	83	97	112	95	121	83	120	98	132	132	112	43	82	152	55	78	79	102	71	338	87	118	78	165	45	124	87	76	51	65	59	215	70	67	122	70	113	129	114	197	80	137	72	77	95	147	172	100	116	110	134	152	161	135	98	82	337	129	125	89	66	128	91	59	96	78	74	148	100	73	72	153	93	71	96	109	186	59	66	73	91	10584	10067	3489	11389	11536	11123	10004	12908	4017	9660	10233	11499	10036	11730	7635	10089	2831	11301	10471	10771	2831	8620	11060	8676	13016	13467	12852	11225	11241	7290	11219	13015	11437	8539	11464	3931	11353	10971	4060	13502	13227	7747	11000	6070	9963	11703	11140	9642	11019	11239	7123	11274	7516	10884	3489	8874	10442	10066	13284	11792	10356	10455	9798	11261	9324	9288	4826	144	1418	1295	113	9740	857	14013	1578	1212	825	666	36	14995	14543	1983	57	12666	110	854	1245	1823	255	12699	9573	325	1832	1270
Haloferax	759	892	339	1827	918	1547	59	160	116	131	22	241	42	47	69	257	106	146	170	65	70	81	55	109	91	77	62	113	92	59	128	52	42	84	31	74	35	78	55	40	49	89	72	122	66	62	45	112	49	60	71	62	86	79	95	75	80	75	63	33	58	125	41	63	59	95	48	255	67	100	51	101	45	88	61	48	65	53	61	151	38	40	95	55	100	83	129	180	55	93	53	55	49	108	102	78	79	20	95	112	111	81	61	71	207	88	91	61	48	104	66	43	67	56	49	117	78	51	44	100	80	50	62	80	139	48	56	51	79	7035	6722	2389	8138	7813	7992	7187	8625	2860	6564	7397	7685	6861	7714	5043	7021	1962	7635	7223	7514	1962	6160	7192	6073	8526	9023	8616	7478	7818	5494	7852	8224	7950	5998	7675	3056	8041	7392	2862	8829	8686	5190	7452	4191	6793	7615	7461	6502	7467	8011	5074	7857	5304	7679	2389	6090	7012	7144	8553	8332	7184	6943	6732	7707	6929	6830	3285	119	1007	1196	67	6608	651	10433	1438	866	659	476	31	10936	11220	1603	29	9769	59	579	975	1272	149	8745	6932	251	1692	954
Halococcus	525	630	243	1116	624	1001	58	93	74	82	15	151	29	33	51	211	56	69	102	37	68	52	44	73	56	57	38	56	71	49	85	33	52	61	22	55	32	48	50	51	32	69	41	77	25	39	39	60	23	38	47	267	37	55	57	64	59	60	51	28	41	86	34	54	26	57	44	143	39	49	34	65	23	135	38	34	31	35	41	105	39	35	53	39	55	328	125	83	38	63	51	36	41	66	76	44	61	355	99	71	52	51	58	68	149	2698	58	34	30	69	46	39	39	30	39	65	41	29	36	59	46	35	34	48	89	38	46	493	56	5126	4901	1687	6165	5940	6198	5300	6217	1950	5024	5288	5890	5039	5681	3479	5340	1381	5479	5046	5526	1381	4256	5250	4444	6079	6585	6435	5647	6146	3807	5732	6121	6285	4518	5707	2342	6203	5743	1881	6696	6643	3574	5650	2902	4938	5755	5190	4932	5576	5308	3514	6088	3583	5685	1687	4316	4976	5489	6219	5532	5332	4995	4753	5946	4698	6734	2197	94	719	669	72	4729	380	7121	923	568	405	241	46	7684	9245	897	16	6736	320	361	557	851	122	7076	5984	225	1101	562
Cenarchaeum	520	761	299	1226	1131	1161	9	9	3	8	4	11	2	3	3	13	8	5	3	10	46	4	9	13	4	14	7	3	13	15	30	11	3	18	7	7	9	41	6	4	1	39	12	15	3	5	5	13	5	6	5	15	13	11	7	12	8	5	4	6	4	35	4	9	8	8	6	28	14	5	8	9	2	9	4	13	8	11	18	14	2	23	18	10	8	10	13	17	5	8	7	1	14	8	7	7	20	3	10	11	15	18	8	5	15	45	6	5	9	48	5	23	18	10	3	15	7	7	14	11	15	5	5	16	15	3	7	17	21	1149	869	154	2453	947	2449	1540	930	268	1345	598	1105	1210	1185	313	1334	139	1122	1143	1440	139	452	1105	1318	1100	1007	1529	1149	2359	941	2146	1009	2426	1381	1093	304	2359	927	265	1011	1509	391	950	372	1233	1192	1123	1320	1478	567	344	2475	395	2020	154	510	1134	1463	952	585	1379	1166	960	992	1115	654	291	19	141	137	20	3410	116	729	235	99	57	41	8	821	10767	122	1	8120	5	61	156	123	46	9627	548	23	258	104
Methanosaeta	452	521	225	736	575	619	108	68	46	72	30	116	22	22	30	119	37	94	48	16	20	32	31	59	36	37	29	36	42	30	41	18	18	49	21	34	16	25	32	29	11	76	48	86	22	29	29	35	17	20	24	44	15	46	46	36	27	35	24	20	23	35	23	22	20	68	35	89	33	28	17	31	10	22	20	36	23	28	45	34	12	30	38	15	43	47	24	48	47	55	23	24	29	36	44	25	46	131	45	35	68	33	30	17	32	25	29	21	22	50	25	36	40	24	29	31	33	25	21	45	38	22	10	39	40	20	19	41	36	3505	3347	1041	3753	3499	3763	3159	4125	1370	2739	3870	3779	3934	3814	2243	3772	890	3834	3630	3890	890	2702	3682	2769	4080	4637	5024	3725	4233	3562	3789	3954	3703	2825	3944	1920	4180	3266	1346	4588	4909	2420	3262	2082	3996	3665	3784	2703	3768	3646	2359	3802	2432	4016	1041	3019	3542	3113	4302	3838	3697	3491	3289	3527	2255	3830	3895	79	543	481	38	3426	398	5207	718	495	375	233	12	6060	7077	1836	13	4300	20	504	720	1133	126	5550	4806	258	783	497
Methanoculleus	427	533	215	872	463	774	47	85	61	53	11	141	25	28	44	145	72	93	94	20	26	31	22	44	44	34	31	48	31	39	45	25	22	54	29	42	16	41	47	28	18	49	21	74	11	32	27	48	14	24	27	28	26	32	23	33	31	22	22	18	26	30	16	48	18	42	38	89	33	54	26	45	28	38	24	34	26	30	35	62	31	29	45	25	57	46	44	67	20	48	22	24	23	32	42	24	46	3	54	45	79	24	39	41	60	26	48	19	17	50	33	27	39	34	40	47	32	23	29	40	35	17	29	36	41	21	20	15	60	4036	3788	1327	4415	3914	4360	3482	4637	1536	3234	4429	4259	4253	4093	2733	3767	1054	4079	4096	4071	1054	3155	3946	3207	4671	4844	5240	4058	4685	3541	4390	4593	4217	3216	4174	1940	4661	3510	1505	5069	5331	2861	3650	2378	4329	4013	4072	3188	4043	4322	2733	4359	3039	4368	1327	3502	4071	3589	4783	4574	3840	4009	3732	3846	3416	4260	3251	186	854	523	60	3656	953	5717	1060	503	328	224	37	5526	6665	806	54	5033	45	441	663	908	411	5497	3745	140	1092	566
Thermococcus	407	502	246	829	495	949	106	315	192	208	32	326	86	87	89	425	273	107	202	57	75	63	48	85	99	50	39	80	81	77	71	64	48	95	40	52	36	79	84	43	25	94	47	96	51	68	42	66	48	53	34	68	66	86	46	70	46	70	42	38	36	99	51	78	38	93	72	161	61	41	42	54	40	58	61	58	55	82	60	80	32	46	71	47	75	117	73	117	102	75	54	48	49	79	73	47	80	9	69	77	111	72	72	53	66	44	78	63	58	94	60	53	56	70	57	37	62	32	52	69	68	29	58	55	131	39	55	53	81	3346	2882	961	3599	2918	3548	2920	3984	1196	2561	3572	3161	3572	3141	2098	3008	795	3235	3357	3185	795	2404	3063	2545	3551	4207	4333	3294	3867	3107	3501	3447	3654	2568	3173	1755	3858	2786	1179	4378	4505	2164	2847	1853	3506	3132	3151	2567	3287	3367	2106	3718	2323	3567	961	2785	3421	2967	4001	3534	3103	3330	2880	2781	4071	6797	3635	1637	907	912	3880	4802	1895	7094	1364	795	660	245	3473	6387	7269	1185	543	5765	6252	472	998	971	1326	7590	6858	276	1460	574
