#Constructed from biom file																																																																																																																																																																																																																															
#OTU ID	SRR1569470	SRR1569466	SRR1566021	SRR1569812	SRR1569462	SRR1569742	ERR866572	ERR866564	ERR866563	ERR866568	ERR866608	ERR866566	ERR866580	ERR866576	ERR866590	ERR866571	ERR866569	ERR866583	ERR866565	ERR771103	ERR770962	ERR770992	ERR770974	ERR771039	ERR771070	ERR771066	ERR771096	ERR771015	ERR771041	ERR771032	ERR771057	ERR770969	ERR771024	ERR771019	ERR771023	ERR771050	ERR771035	ERR770978	ERR770983	ERR770973	ERR771028	ERR770995	ERR770965	ERR771012	ERR771061	ERR771004	ERR771077	ERR771048	ERR770976	ERR770986	ERR770960	ERR770990	ERR771064	ERR771017	ERR771094	ERR771072	ERR771001	ERR771082	ERR771101	ERR771079	ERR771089	ERR771055	ERR771043	ERR771030	ERR771098	ERR771068	ERR771021	ERR771052	ERR770997	ERR770967	ERR771059	ERR771085	ERR771006	ERR771075	ERR771093	ERR771010	ERR855786	ERR771036	ERR771020	ERR771053	ERR771099	ERR771084	ERR771074	ERR771092	ERR771011	ERR770996	ERR770966	ERR771058	ERR770980	ERR771065	ERR771016	ERR771095	ERR771073	ERR771000	ERR771049	ERR770977	ERR770987	ERR770961	ERR770991	ERR771054	ERR771042	ERR771051	ERR770989	ERR770979	ERR771047	ERR771018	ERR771013	ERR771005	ERR771086	ERR770982	ERR770972	ERR770994	ERR771105	ERR771071	ERR771002	ERR771067	ERR770959	ERR771097	ERR771014	ERR770993	ERR770985	ERR771038	ERR771040	ERR771033	ERR771056	ERR770968	ERR771025	ERR770998	ERR771009	ERR671931	ERR671927	SRR988097	ERR687897	ERR671916	ERR671911	ERR671920	ERR671936	SRR988086	ERR687890	SRR988090	ERR687886	ERR671925	ERR671933	SRR988083	ERR687895	SRR988095	ERR687883	ERR687888	ERR671914	SRR988078	SRR988088	ERR671938	ERR671913	ERR671929	ERR671934	ERR671922	ERR687884	ERR671918	SRR988092	ERR687892	ERR671928	ERR687898	ERR671912	ERR687885	SRR988093	ERR671919	ERR687893	SRR988085	ERR671935	ERR671923	SRR988082	ERR687894	SRR988094	ERR671924	ERR671932	ERR671939	ERR687889	ERR671915	SRR988079	SRR988089	ERR671910	SRR988087	ERR687891	SRR988077	SRR988091	ERR687887	ERR671921	ERR671937	SRR988096	ERR687896	ERR671930	ERR671926	ERR671917	SRR2026986	SRR1518285	SRR1522974	SRR949897	SRR948448	SRR947737	SRR949536	SRR1515032	SRR949847	SRR1522973	SRR948155	SRR3098775	SRR3098772	SRR3098764	SRR949314	SRR1522971	SRR2027830	SRR3098779	SRR949535	SRR2027816	SRR949315	SRR3098769	SRR948334	SRR3098767	SRR949987	SRR1514963	SRR1522964	SRR3098756	SRR948284	SRR3098776
T4likevirus	268	262	138	1183	280	1656	22	3916	24	30	7	42	627	8	14	61	40	385	47	358	2204	298	1430	1033	5744	2255	104	269	680	1003	716	407	351	353	784	279	347	257	3224	1392	648	3763	143	337	429	4286	229	192	148	289	254	586	632	4356	84	505	1108	245	738	131	107	1844	388	985	179	478	4462	3512	272	3173	464	2287	36	4432	238	336	389	727	2675	434	193	302	752	240	772	1751	381	441	3079	104	716	117	405	429	418	519	1003	3	651	565	1298	812	2127	733	272	1258	10438	1628	1749	625	765	1385	732	3882	367	118	256	94	1137	234	862	579	84	686	1032	1587	740	1857	6732	304	323	130	288	259	295	300	380	165	266	435	326	292	339	301	249	111	342	313	295	111	271	311	279	335	326	344	315	303	429	317	344	289	239	292	220	352	249	146	327	362	305	243	247	294	291	330	270	270	401	239	291	292	297	130	400	289	323	347	429	274	315	308	273	177708	101297	55101	1330	1954	19226	697	58867	9484	157231	11731	1854	6028	121	639	47579	83793	1691	780	151499	146	1968	14978	3600	692	77236	68083	844	10260	1249
Simplexvirus	222	257	63	580	257	421	2	29	17	23	3	47	8	23	12	51	18	16	22	24	13	20	10	20	16	20	19	26	14	5	44	15	17	9	2	13	11	22	20	13	12	10	9	24	17	7	13	51	15	17	45	21	27	17	26	19	22	19	23	4	28	28	6	17	16	27	22	103	12	8	11	28	0	11	23	8	6	12	2	43	14	12	29	12	21	27	16	72	11	15	14	30	16	42	19	28	14	3	18	23	19	30	25	18	134	3	26	18	14	34	21	8	12	13	19	75	35	16	7	31	20	7	1	18	33	23	15	19	12	3093	2894	754	3085	3414	2926	2641	3669	912	2932	2042	3867	2622	3940	1679	2828	604	3522	3126	2847	604	2047	3660	2312	4160	3731	3582	3553	2649	1160	2888	4234	3053	2249	3763	629	2645	3390	883	4043	3616	1725	3220	1340	2567	3876	3504	2877	2884	2471	1625	3021	1715	2836	754	1966	3100	2679	3842	2586	2801	3139	2910	3472	1021	1834	529	13	167	186	11	1586	46	2792	200	178	144	160	5	2918	1845	420	3	1644	23	142	104	402	11	2152	1501	52	265	168
Lentivirus	156	210	73	517	210	510	79	178	148	166	25	253	61	82	66	320	96	50	194	25	41	50	35	49	26	26	30	59	47	37	56	31	50	27	22	32	15	33	42	25	19	44	16	41	33	26	30	46	28	29	33	40	33	38	45	57	50	41	32	19	34	59	22	37	43	32	43	165	40	36	37	28	56	32	39	34	11	25	16	81	31	15	31	28	30	41	83	95	25	42	25	24	26	53	39	52	46	9	48	44	59	47	53	26	69	15	53	39	19	46	29	31	28	25	31	52	30	26	16	63	33	20	29	23	67	31	43	26	30	1345	1354	556	1399	1299	1371	1330	1719	669	1177	1769	1465	1344	1463	1276	1161	452	1468	1296	1280	452	1360	1408	1198	1579	1492	1596	1428	1511	1444	1336	1563	1392	1232	1437	871	1492	1305	663	1658	1621	1305	1207	1061	1346	1379	1432	1129	1259	1919	1164	1372	1227	1423	556	1586	1308	1342	1520	2003	1183	1280	1330	1343	2597	4995	1887	142	432	559	60	2771	760	3539	1048	294	287	156	32	3265	3080	535	65	3028	78	220	650	459	153	4030	2926	115	1071	268
Alphabaculovirus	143	159	56	321	149	265	30	57	44	70	14	73	20	19	22	71	30	15	48	31	25	31	17	21	21	13	16	27	14	6	35	14	20	16	7	20	12	29	25	22	9	23	21	41	23	12	14	35	15	17	22	21	25	17	37	21	25	24	23	12	27	34	12	9	16	23	20	93	19	12	13	27	10	19	17	19	8	13	12	42	15	17	30	11	19	17	32	40	17	14	15	18	21	31	20	23	26	305	21	20	24	18	13	24	88	7	35	32	6	26	29	15	15	20	16	28	31	13	10	37	14	10	217	21	27	20	12	8	20	1503	1428	460	1417	1387	1485	1371	1874	594	1299	1428	1669	1414	1761	1150	1328	362	1583	1473	1390	362	1210	1573	1134	1917	1903	1794	1644	1497	956	1477	1852	1443	1121	1689	537	1477	1398	539	2010	1793	1109	1449	812	1486	1729	1639	1320	1369	1548	976	1357	1024	1461	460	1215	1608	1239	1854	1606	1348	1418	1453	1443	1082	1987	659	76	285	281	50	1573	428	1944	597	113	136	69	12	1931	1505	340	27	1454	77	149	294	269	33	1888	1652	49	583	122
Varicellovirus	120	155	39	355	148	292	5	28	22	36	3	45	11	11	15	60	22	16	40	15	10	22	2	10	16	15	9	20	9	7	22	14	15	6	1	11	4	26	8	4	11	9	4	17	7	11	6	30	8	8	19	16	18	18	21	10	21	21	23	4	10	28	5	8	12	13	10	72	16	15	15	11	2	11	9	4	4	3	4	30	12	10	20	6	12	14	31	55	10	14	10	13	22	23	18	19	9	10	18	13	19	26	8	13	76	2	15	9	8	15	16	4	12	6	9	30	19	16	3	24	7	1	4	20	21	10	9	10	8	1573	1575	388	1656	1865	1629	1467	2032	545	1655	1158	2066	1414	2149	929	1572	350	1869	1655	1627	350	1177	1848	1333	2240	1993	1967	1899	1559	791	1653	2098	1705	1310	1973	391	1693	1804	526	2059	2026	1004	1770	735	1467	2076	1889	1555	1698	1414	930	1682	994	1620	388	1160	1581	1515	1998	1462	1555	1599	1598	1859	1027	1067	433	11	113	104	14	860	30	1797	180	149	77	84	3	1740	1224	282	2	1249	44	110	125	233	8	1281	664	44	244	154
Mastadenovirus	105	156	43	311	126	280	9	526	12	17	0	104	18	12	11	40	16	11	24	26	12	15	5	30	18	16	13	26	28	4	21	8	7	11	6	6	3	16	15	4	9	12	4	9	28	5	5	27	7	9	27	20	17	13	12	23	18	7	14	3	13	16	7	11	6	23	8	50	17	7	9	18	4	8	36	10	4	12	7	25	10	8	32	5	13	12	14	18	9	17	8	8	6	20	27	9	9	3	19	12	16	13	11	15	76	1	20	13	7	19	12	4	6	17	7	39	18	8	5	19	7	9	1	17	34	12	9	13	8	1619	1622	425	1665	1720	1613	1432	1970	530	1443	1351	1910	1406	2022	1006	1496	368	1823	1576	1538	368	1238	1791	1280	2226	2095	1822	1849	1477	875	1567	2168	1638	1167	1971	446	1551	1615	570	2096	1844	1077	1614	798	1409	1893	1779	1570	1557	1500	919	1567	1005	1550	425	1264	1613	1496	2054	1566	1439	1622	1598	1718	680	848	392	34	113	202	17	1053	123	1255	228	104	160	73	8	1866	1172	323	8	1042	44	87	83	287	18	1235	957	41	246	84
Orthohepadnavirus	96	109	39	205	99	199	18	28	30	37	3	48	10	13	16	53	23	7	26	9	9	8	5	8	8	8	7	8	11	7	19	7	2	6	3	14	3	8	9	6	2	13	6	10	12	8	8	15	9	7	9	5	13	7	9	7	8	4	5	2	10	17	5	9	5	10	9	41	13	3	6	15	4	9	15	11	5	4	1	17	4	7	15	6	6	10	16	15	7	9	4	4	4	10	11	7	5	12	14	11	12	12	6	13	39	3	12	7	4	9	6	2	5	10	4	15	15	8	2	6	7	4	5	8	14	5	5	2	6	927	879	301	957	980	906	895	1105	361	837	946	997	829	1062	713	877	242	950	889	881	242	852	977	667	1121	1172	1071	939	910	592	960	1092	928	692	995	319	997	984	385	1182	1048	685	891	504	824	936	983	892	894	1012	741	899	726	927	301	823	929	945	1109	1065	832	934	877	999	515	744	286	9	75	221	6	760	51	1398	156	66	63	39	7	1163	731	171	1	666	26	87	55	157	18	1014	1061	19	182	75
Chlorovirus	78	92	42	266	106	312	5	95	42	50	2	65	9	14	18	82	19	35	38	22	24	61	29	69	67	28	32	79	72	29	81	53	59	16	36	45	26	31	105	27	50	74	27	64	149	29	41	46	45	50	19	32	175	53	61	42	60	75	23	16	47	164	32	51	50	49	53	115	26	68	40	30	7	18	60	46	30	41	31	74	29	18	74	32	32	43	52	109	35	35	34	35	29	47	56	65	33	35	60	74	81	52	37	51	63	20	82	39	20	53	25	22	150	36	53	86	39	24	103	43	51	34	31	32	71	38	80	27	90	491	508	210	513	514	457	511	630	234	489	713	564	556	561	441	474	179	595	496	479	179	480	563	444	679	584	702	620	644	594	595	674	483	426	534	328	603	487	229	642	668	459	509	380	505	503	579	489	500	695	426	541	481	589	210	601	520	464	598	725	504	518	532	573	3935	11043	7188	421	2165	3469	249	7800	3139	10232	3856	253	1571	53	34	6538	3163	458	237	3933	41	727	3932	1121	96	9756	9859	80	3799	243
Lymphocryptovirus	73	91	27	188	92	131	5	19	24	19	1	36	8	7	9	40	19	5	23	30	4	14	4	14	14	9	14	19	24	6	19	7	13	5	3	9	11	18	4	5	3	7	5	9	20	2	16	27	7	14	20	15	16	11	14	20	22	20	28	4	9	15	12	8	6	14	9	63	23	9	12	11	4	5	18	10	5	8	7	31	12	9	18	9	22	20	8	41	5	12	10	5	20	28	25	24	8	0	20	12	15	21	10	13	69	9	15	13	6	19	7	2	6	11	11	39	21	6	5	23	9	7	1	12	28	12	13	6	6	958	958	185	980	1104	984	868	1210	252	996	553	1291	806	1266	447	990	156	1131	1002	995	156	559	1174	736	1345	1259	1090	1229	833	322	903	1374	975	751	1250	179	872	1102	239	1381	1189	460	1043	306	823	1286	1175	942	1048	605	390	967	449	965	185	509	947	898	1230	635	957	1003	956	1075	679	1219	169	7	51	143	5	413	30	1140	85	78	45	34	1	966	601	183	6	689	23	47	57	110	7	502	363	10	144	39
Alphatorquevirus	72	91	30	228	85	196	0	1	0	0	0	2	0	0	1	3	1	2	0	22	4	6	2	9	2	6	5	11	8	4	15	3	3	7	0	5	6	18	4	0	5	2	1	12	13	2	2	13	5	7	21	14	17	3	7	9	1	5	12	1	1	16	3	4	3	7	7	26	4	5	5	10	2	3	9	4	2	0	2	10	5	7	11	4	7	6	6	17	1	2	4	5	7	11	15	6	8	0	11	6	8	7	7	6	37	3	11	8	5	9	1	5	4	4	3	17	14	4	4	6	3	3	0	5	17	4	1	4	4	1139	1106	204	1240	1471	1124	1050	1364	293	1309	532	1527	907	1463	526	1152	189	1383	1141	1177	189	586	1398	943	1663	1431	1264	1414	1001	343	1122	1621	1211	980	1493	160	1047	1451	268	1468	1349	496	1443	376	917	1453	1379	1277	1192	742	516	1218	497	1106	204	595	1023	1126	1350	784	1104	1160	1088	1466	364	489	140	1	46	29	0	532	3	592	31	38	26	48	0	976	473	224	0	452	5	36	18	109	4	548	464	23	46	54
